en,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,None,PRON,PROPN,SCONJ,SYM,VERB,X
ADJ,71.4,1.2,3.8,0.0,0.0,0.1,11.9,0.1,6.6,0.1,1.2,0.0,0.0,3.5,0.1
ADP,2.7,76.4,4.4,0.0,0.2,0.8,4.6,0.0,6.0,0.2,0.2,0.2,0.0,4.3,0.0
ADV,6.0,5.1,64.9,0.2,0.8,0.9,5.7,0.2,11.7,0.8,0.0,0.8,0.0,3.0,0.0
AUX,0.0,0.0,2.2,4.4,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,84.6,0.0
CCONJ,0.2,0.7,2.5,0.0,85.8,0.0,0.2,0.0,10.3,0.0,0.2,0.0,0.2,0.0,0.0
DET,29.5,4.8,8.6,0.0,0.0,18.1,9.5,4.8,15.2,3.8,1.0,0.0,0.0,4.8,0.0
INTJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
NOUN,3.7,0.3,0.3,0.0,0.0,0.0,88.7,0.3,4.1,0.3,0.4,0.0,0.1,1.6,0.0
NUM,1.8,0.2,0.0,0.0,0.0,2.5,5.3,88.0,1.2,0.2,0.5,0.0,0.0,0.2,0.0
None,9.0,4.6,11.5,0.5,8.5,0.8,26.6,0.5,0.0,9.3,0.5,0.0,0.0,27.9,0.3
PART,0.0,12.5,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,37.5,0.0
PRON,0.0,0.6,0.2,0.0,0.0,0.0,4.9,0.0,8.1,84.7,0.6,0.0,0.0,0.8,0.0
PROPN,4.9,0.2,0.0,0.0,0.0,0.0,24.1,0.2,1.4,0.3,67.4,0.0,0.0,0.1,1.3
SCONJ,0.0,54.9,31.0,0.0,5.3,0.9,0.9,0.0,4.4,0.0,0.0,1.8,0.0,0.9,0.0
SYM,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.8,0.0,0.0,0.0,72.2,0.0,0.0
VERB,4.3,1.1,0.1,1.8,0.0,0.0,5.6,0.0,7.2,0.1,0.1,0.0,0.0,79.7,0.0
X,7.7,0.0,0.0,0.0,0.0,0.0,23.1,0.0,0.0,0.0,23.1,0.0,0.0,0.0,46.2
