en,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,None,PART,PRON,PROPN,SCONJ,SYM,VERB,X
ADJ,73.7,0.1,4.3,0.0,0.0,2.1,6.9,0.1,4.9,0.2,0.0,1.7,0.0,0.0,4.2,1.8
ADP,1.9,63.7,7.4,0.0,0.0,0.6,4.7,0.0,7.2,0.4,0.0,0.0,0.4,0.0,12.5,1.1
ADV,5.7,1.8,59.1,0.0,3.8,0.8,2.9,0.5,14.2,4.6,0.2,0.2,0.0,0.0,4.0,2.3
AUX,7.0,0.0,1.7,4.3,0.0,0.0,0.9,0.0,7.0,0.0,0.0,0.0,0.0,0.0,79.1,0.0
CCONJ,11.4,0.0,2.9,0.0,71.4,0.0,0.0,2.9,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.9
DET,29.3,0.8,11.4,0.0,0.0,25.2,4.9,8.1,7.3,6.5,1.6,0.0,0.8,0.0,3.3,0.8
INTJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
NOUN,6.3,0.1,1.1,0.0,0.0,0.5,81.2,0.1,4.7,0.0,0.3,3.1,0.0,0.1,1.6,0.8
NUM,8.8,0.0,1.6,0.0,0.0,0.3,8.1,74.9,3.3,0.0,0.3,0.0,0.0,0.0,0.0,2.6
None,10.3,4.4,9.1,0.1,1.0,3.8,39.1,0.6,0.0,2.7,6.2,3.2,0.1,0.0,17.9,1.5
PART,6.0,1.5,3.0,0.0,0.0,1.5,3.0,0.0,0.0,67.2,0.0,0.0,0.0,0.0,17.9,0.0
PRON,0.9,0.0,0.7,0.0,0.0,22.8,2.3,0.0,8.8,0.0,62.5,0.2,0.0,0.0,1.6,0.2
PROPN,8.9,0.0,0.0,0.0,0.0,0.3,7.9,0.0,1.6,0.0,0.0,77.0,0.0,0.0,0.1,4.2
SCONJ,7.7,50.0,19.2,0.0,0.0,0.0,0.0,0.0,7.7,11.5,0.0,0.0,0.0,0.0,3.8,0.0
SYM,0.0,0.0,9.1,0.0,0.0,0.0,9.1,0.0,9.1,0.0,0.0,0.0,0.0,68.2,0.0,4.5
VERB,3.3,0.4,0.6,0.5,0.0,0.1,8.2,0.0,7.5,0.0,0.1,0.1,0.0,0.0,79.3,0.1
X,28.6,0.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0,0.0,42.9,0.0,0.0,0.0,0.0
